spectrum,R (sRGB),G,B,L,a*,b*,Y,x,y,fx,fy,fz,eta,kappa,xr,yr,zr,Xr,Yr,Zr,X,Y,Z
browns,129.9829501,97.89422261,52.24958951,43.81588523,7.403728863,30.67578788,13.71120535,0.4289374303,0.4145426455,0.5304616407,0.515654183,0.3622752436,0.008856,903.3,0.1492663636,0.1371120535,0.04754621737,95.047,100,108.883,14.18732006,13.71120535,5.176974786
browns,122.1988307,89.60022201,44.90628035,40.55169439,8.111479023,30.63549723,11.58678364,0.4369415208,0.4167108271,0.5037375649,0.4875146068,0.3343371207,0.008856,903.3,0.12782418,0.1158678364,0.03737264142,95.047,100,108.883,12.14930483,11.58678364,4.069245316
browns,114.4117344,81.44366645,37.5560429,37.28750355,8.784832797,30.64723096,9.69398082,0.4458274357,0.4191084938,0.4769446962,0.4593750306,0.3061388758,0.008856,903.3,0.1084935877,0.0969398082,0.02869164504,95.047,100,108.883,10.31199003,9.69398082,3.124032387
browns,106.9340728,73.26407176,30.65793408,34.02331271,9.708043752,30.46573722,8.019427744,0.4558999987,0.4202928211,0.4506515419,0.4312354544,0.2789067683,0.008856,903.3,0.09152138508,0.08019427744,0.02169587453,95.047,100,108.883,8.698833088,8.019427744,2.362311907
browns,99.28778899,65.3118062,23.46354266,30.75912187,10.45445254,30.45936971,6.549755257,0.4670522525,0.4222210305,0.4240047833,0.4030958782,0.2507990297,0.008856,903.3,0.0762276038,0.06549755257,0.01577529741,95.047,100,108.883,7.245205058,6.549755257,1.717661708
browns,91.52041821,57.57243025,15.91929543,27.49493103,11.06283178,30.59401742,5.271594206,0.4793846543,0.424665712,0.3970819656,0.374956302,0.2219862149,0.008856,903.3,0.06260953654,0.05271594206,0.01093900997,95.047,100,108.883,5.95084862,5.271594206,1.191072223
browns,84.48487823,49.5610302,9.108390572,24.23074019,12.32566814,30.18955847,4.171575438,0.4944312966,0.4233535449,0.3714680621,0.3468167258,0.1958689335,0.008856,903.3,0.05125832855,0.04171575438,0.007440270436,95.047,100,108.883,4.871950354,4.171575438,0.8101189658
browns,77.09719647,41.98400097,-0.3298007362,20.96654936,13.03460132,30.28308221,3.236329798,0.5164388387,0.4291748019,0.3447463522,0.3186771496,0.1672617386,0.008856,903.3,0.0409731203,0.03236329798,0.003766591024,95.047,100,108.883,3.894372165,3.236329798,0.4101177304
yellows,255.040416,254.9966307,59.47542096,97.2716703,-20.48510662,85.37920324,93.1086321,0.4117351709,0.4926342585,0.9355097032,0.9764799164,0.5495839002,0.008856,903.3,0.8187378896,0.931086321,0.165997675,95.047,100,108.883,77.81858019,93.1086321,18.07432485
yellows,255.0170149,248.720165,57.63990641,95.64149278,-17.55223851,84.43568966,89.14622085,0.4161987266,0.4895232473,0.9273221849,0.9624266619,0.5402482136,0.008856,903.3,0.7974288601,0.8914622085,0.157681237,95.047,100,108.883,75.79322086,89.14622085,17.16880613
