subject_id,trial_index,is_monolingual,colour,num,resp,resp_fixed,rt
58ab75c4ef58a9000119d16c,593,NA,yellows,20,orange,orange,4080.175
58ab75c4ef58a9000119d16c,594,NA,blues,1,sky blue,sky blue,5231.78
58ab75c4ef58a9000119d16c,595,NA,reds,20,red,red,1983.62
58ab75c4ef58a9000119d16c,596,NA,browns,20,brown,brown,1515.98
58ab75c4ef58a9000119d16c,597,NA,browns,1,tan,tan,1360.995
58ab75c4ef58a9000119d16c,598,NA,yellows,1,yellow,yellow,2027.725
58ab75c4ef58a9000119d16c,599,NA,reds,1,pink,pink,2337.885
58ab75c4ef58a9000119d16c,600,NA,blues,20,blue,blue,1251.5
590819e205fbfc000147720c,593,NA,reds,1,pink,pink,4079
590819e205fbfc000147720c,594,NA,browns,20,brown,brown,3852
590819e205fbfc000147720c,595,NA,blues,20,blue,blue,1819
590819e205fbfc000147720c,596,NA,yellows,1,yellow,yellow,3198
590819e205fbfc000147720c,597,NA,browns,1,beige,beige,1980
590819e205fbfc000147720c,598,NA,reds,20,red,red,1247
590819e205fbfc000147720c,599,NA,blues,1,blue,blue,2018
590819e205fbfc000147720c,600,NA,yellows,20,orange,orange,1632
59a88f5b321f870001d16d68,593,NA,browns,20,brown,brown,12441
59a88f5b321f870001d16d68,594,NA,blues,1,blue,blue,4085.1
59a88f5b321f870001d16d68,595,NA,blues,20,dark blue,dark blue,4868.3
59a88f5b321f870001d16d68,596,NA,yellows,20,orange,orange,3113.6
59a88f5b321f870001d16d68,597,NA,yellows,1,yellow,yellow,2669.3
59a88f5b321f870001d16d68,598,NA,browns,1,tan,tan,5542.7
59a88f5b321f870001d16d68,599,NA,reds,1,pink,pink,2764.9
59a88f5b321f870001d16d68,600,NA,reds,20,red,red,1851.9
59c0a297c458e800017b5499,593,NA,reds,1,pink,pink,5576
59c0a297c458e800017b5499,594,NA,reds,20,red,red,3689
59c0a297c458e800017b5499,595,NA,blues,1,light blue,light blue,13317
59c0a297c458e800017b5499,596,NA,yellows,1,yellow,yellow,3323
59c0a297c458e800017b5499,597,NA,browns,20,brown,brown,3822
59c0a297c458e800017b5499,598,NA,yellows,20,orange,orange,3337
59c0a297c458e800017b5499,599,NA,blues,20,blue,blue,2477
59c0a297c458e800017b5499,600,NA,browns,1,tan,tan,2951
59c86f966a287600011c393e,593,NA,yellows,20,Orange,Orange,11473.1
59c86f966a287600011c393e,594,NA,reds,20,Red,Red,5881.7
59c86f966a287600011c393e,595,NA,browns,20,Brown,Brown,7735
59c86f966a287600011c393e,596,NA,yellows,1,Yellow,Yellow,5525.1
59c86f966a287600011c393e,597,NA,browns,1,Tan,Tan,13738.9
59c86f966a287600011c393e,598,NA,reds,1,Pink,Pink,13141.3
59c86f966a287600011c393e,599,NA,blues,20,Blue,Blue,5526.2
59c86f966a287600011c393e,600,NA,blues,1,Light blue,Light blue,18295.9
59f05fd65de9b000017ed8c3,593,NA,reds,1,pink,pink,10715.365
59f05fd65de9b000017ed8c3,594,NA,yellows,1,bright yellow,bright yellow,4943.565
59f05fd65de9b000017ed8c3,595,NA,yellows,20,orange,orange,2905.095
59f05fd65de9b000017ed8c3,596,NA,browns,20,brown,brown,2444.5
59f05fd65de9b000017ed8c3,597,NA,blues,20,blue,blue,1896.17
59f05fd65de9b000017ed8c3,598,NA,reds,20,red,red,1501.92
59f05fd65de9b000017ed8c3,599,NA,blues,1,cyan,cyan,2100.795
59f05fd65de9b000017ed8c3,600,NA,browns,1,beige,beige,2047.155
5a02083e087f2e0001eadbdb,593,NA,reds,1,pink,pink,3031.9
5a02083e087f2e0001eadbdb,594,NA,yellows,1,yellow,yellow,1746.8
5a02083e087f2e0001eadbdb,595,NA,blues,1,light blue,light blue,3132.7
5a02083e087f2e0001eadbdb,596,NA,browns,1,tan,tan,1276.7
5a02083e087f2e0001eadbdb,597,NA,browns,20,brown,brown,2931.7
5a02083e087f2e0001eadbdb,598,NA,yellows,20,orange,orange,1956.3
5a02083e087f2e0001eadbdb,599,NA,blues,20,blue,blue,1387.6
5a02083e087f2e0001eadbdb,600,NA,reds,20,red,red,1163.4
5a0e6ba1728b1b0001ad9aae,593,NA,blues,20,blue,blue,5539.895
5a0e6ba1728b1b0001ad9aae,594,NA,browns,1,tan,tan,4993.1
5a0e6ba1728b1b0001ad9aae,595,NA,reds,1,pink,pink,2261.855
5a0e6ba1728b1b0001ad9aae,596,NA,browns,20,brown,brown,3270.08
5a0e6ba1728b1b0001ad9aae,597,NA,yellows,1,yellow,yellow,2542.315
5a0e6ba1728b1b0001ad9aae,598,NA,reds,20,red,red,2036.14
5a0e6ba1728b1b0001ad9aae,599,NA,yellows,20,orange,orange,2396.79
5a0e6ba1728b1b0001ad9aae,600,NA,blues,1,blue,blue,2206.365
5a11e6eb30ad7f0001b6ca86,593,NA,browns,20,Brown,Brown,4932
5a11e6eb30ad7f0001b6ca86,594,NA,blues,20,Blue,Blue,3890
5a11e6eb30ad7f0001b6ca86,595,NA,yellows,1,Yellow,Yellow,2935
5a11e6eb30ad7f0001b6ca86,596,NA,reds,1,Pink,Pink,2605
5a11e6eb30ad7f0001b6ca86,597,NA,browns,1,Tan,Tan,7378
5a11e6eb30ad7f0001b6ca86,598,NA,blues,1,Sky Blue,Sky Blue,4156
5a11e6eb30ad7f0001b6ca86,599,NA,reds,20,Red,Red,1950
5a11e6eb30ad7f0001b6ca86,600,NA,yellows,20,Orange,Orange,4899
5a35ecbf57d4450001236fd3,593,NA,browns,1,tan,tan,8107.1
5a35ecbf57d4450001236fd3,594,NA,reds,20,red,red,1326.2
5a35ecbf57d4450001236fd3,595,NA,browns,20,brown,brown,1739.4
5a35ecbf57d4450001236fd3,596,NA,blues,1,blue,blue,2825.1
5a35ecbf57d4450001236fd3,597,NA,yellows,1,yellow,yellow,2096.7
5a35ecbf57d4450001236fd3,598,NA,yellows,20,orange,orange,1662.6
5a35ecbf57d4450001236fd3,599,NA,blues,20,blue,blue,1823.7
5a35ecbf57d4450001236fd3,600,NA,reds,1,pink,pink,1803.9
5a6ab0fbab58b500015f29db,593,NA,blues,20,blue,blue,6419.9
5a6ab0fbab58b500015f29db,594,NA,reds,1,pink,pink,4473.6
5a6ab0fbab58b500015f29db,595,NA,yellows,20,orange,orange,4596
5a6ab0fbab58b500015f29db,596,NA,browns,20,brown,brown,4330.9
5a6ab0fbab58b500015f29db,597,NA,reds,20,red,red,3660.9
5a6ab0fbab58b500015f29db,598,NA,blues,1,aqua,aqua,6298.1
