,subject_id,colour,num,is_dark,rt,language
742,54af2a48fdf99b09c01b3801,blues,2,0,644.0999999,English
743,54af2a48fdf99b09c01b3801,blues,12,1,2929.4,English
744,54af2a48fdf99b09c01b3801,yellows,17,1,894.5,English
745,54af2a48fdf99b09c01b3801,yellows,19,1,665.6999998,English
746,54af2a48fdf99b09c01b3801,reds,18,1,935.7999997,English
747,54af2a48fdf99b09c01b3801,reds,6,0,689.1999998,English
748,54af2a48fdf99b09c01b3801,browns,17,1,733.2000003,English
749,54af2a48fdf99b09c01b3801,browns,19,1,723.0999999,English
750,54af2a48fdf99b09c01b3801,reds,3,0,674.5,English
751,54af2a48fdf99b09c01b3801,yellows,14,1,1510.4,English
752,54af2a48fdf99b09c01b3801,browns,11,0,560.2000003,English
753,54af2a48fdf99b09c01b3801,yellows,13,1,884.0999999,English
755,54af2a48fdf99b09c01b3801,browns,20,1,868.5999999,English
756,54af2a48fdf99b09c01b3801,reds,1,0,782.5,English
757,54af2a48fdf99b09c01b3801,yellows,7,0,1163,English
758,54af2a48fdf99b09c01b3801,browns,17,1,766.7999997,English
759,54af2a48fdf99b09c01b3801,browns,13,1,724.5999999,English
760,54af2a48fdf99b09c01b3801,yellows,12,1,866.5999999,English
761,54af2a48fdf99b09c01b3801,browns,4,0,652.8000002,English
762,54af2a48fdf99b09c01b3801,yellows,11,1,1190.1,English
763,54af2a48fdf99b09c01b3801,reds,7,0,656.0999999,English
764,54af2a48fdf99b09c01b3801,blues,9,0,1385.6,English
765,54af2a48fdf99b09c01b3801,yellows,8,0,1232.5,English
766,54af2a48fdf99b09c01b3801,reds,10,0,619.4000001,English
767,54af2a48fdf99b09c01b3801,browns,14,1,1330.7,English
768,54af2a48fdf99b09c01b3801,reds,2,0,671.8000002,English
769,54af2a48fdf99b09c01b3801,reds,9,0,691.3000002,English
770,54af2a48fdf99b09c01b3801,blues,5,0,640.2999997,English
771,54af2a48fdf99b09c01b3801,reds,15,1,858.3999996,English
772,54af2a48fdf99b09c01b3801,browns,8,0,1080,English
773,54af2a48fdf99b09c01b3801,yellows,17,1,708.3000002,English
